Rank,MO,Parameter ID,Parameter Name,Cells Changed,Pct Common Cells,Common Cells,Distinct Transitions,Change Type,Likely KPI Impact,Top Value Changes (Pre → Post),Default Value,Recommended Value,Meaning,Impact on Radio Network Performance
1,GCELLHOBASIC,LTESAISAC,LTE SAI SAC,24627,99.24%,24816,580,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),0 → 15 (24046); 103 → 15 (3); 45567 → 15 (1); 41686 → 15 (1); 29095 → 15 (1); 48313 → 15 (1); 48543 → 15 (1); 41583 → 15 (1),0,None,"SAC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
2,GCELLHOBASIC,LTESAILAC,LTE SAI LAC,24624,99.23%,24816,13,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),1 → 15000 (24046); 365 → 15000 (144); 363 → 15000 (135); 78 → 15000 (49); 79 → 15000 (48); 368 → 15000 (45); 543 → 15000 (42); 541 → 15000 (30),1,None,"LAC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
3,GCELLCCCH,INTACESCONGCTRLSW,Intelligent Access Congest Ctrl Switch,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,OFF → ON (24541),OFF(Off),OFF(Off),"Whether to enable the intelligent access congestion control function. When this parameter is set to ON(On), this function is enabled. The BSC dynamically adjusts the SDCCH access interval (location update) and initial uplink PS access interval to relieve network congestion. When this parameter is set to OFF(Off), this function is disabled.",Setting this parameter to ON(On) increases the SDCCH access interval (location update) and initial uplink PS access interval and decreases the SDCCH and uplink TBF congestion rates.
4,GCELLCCCH,INTACESCONGCTRLTHRES,Intelligent Access Congest Ctrl Thres.,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 5 (24541),20,20,Threshold for triggering intelligent access congestion control. This parameter is used to check the congestion status of the location update SDCCH or uplink initial PS access.,Setting this parameter to a small value decreases the SDCCH and uplink TBF congestion rates.
5,GCELLCCCH,INTACESCONGCTRLTIMER1,Intelligent Access Congest Ctrl Timer 1,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 1 (24541),2,2,"Increased value for timer T3122. This parameter is used with ""IntAcesCongCtrlThres"" to dynamically specify the increase of the cell access interval. 
The BSC starts the timer specified by this parameter when an immediate assignment fails but this timer is not started. 
If the timer specified by this parameter has not expired, the increased T3122 value remains unchanged. 
If the timer specified by this parameter expires, the BSC stops the timer. If the congestion rate of SDCCH access (location update) or initial uplink PS access is greater than or equal to the value of ""IntAcesCongCtrlThres"" within the duration specified by the timer, the value of T3122 for SDCCH or PDCH access is incremented by 1. Otherwise, the increased T3122 value remains unchanged.","Setting this parameter to a small value decreases the SDCCH congestion rate and uplink TBF congestion rate, but increases the location update and uplink initial PS access intervals."
6,GCELLCCCH,INTACESCONGCTRLTIMER2,Intelligent Access Congest Ctrl Timer 2,24541,98.89%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,(empty) → 100 (24541),5,5,"Decreased value for timer T3122. This parameter is used with ""IntAcesCongCtrlThres"" to dynamically specify the decrease of the cell access interval. 
The BSC automatically starts the timer specified by this parameter when the timer specified by ""IntAcesCongCtrlTimer1"" starts. 
If the timer specified by this parameter has not expired, the decreased T3122 value remains unchanged. 
When the timer specified by this parameter expires, if the congestion rate of SDCCH access (location update) or initial uplink PS access is less than the value of ""IntAcesCongCtrlThres"" within the duration specified by this timer, the value of T3122 for SDCCH access or initial uplink PS access is decreased by 1. Otherwise, the decreased T3122 value remains unchanged. 
When the decreased T3122 value is 0, the BSC stops the timer specified by this parameter. Otherwise, the BSC restarts this timer.",Setting this parameter to a large value increases the location update interval and uplink initial PS access interval.
7,GCELLTMR,IMMREJWAITINDTIMER,T3122,24175,97.42%,24816,1,Network-wide bulk change,CSSR / SDCCH (access delay); possible SDCCH drop,10 → 15 (24175),10,10,"Timer carried by the Wait Indication information element when the BSC sends an immediate assignment reject or DTM reject message to an MS.
After the MS receives the immediate assignment reject or DTM reject message, the MS does not reattempt to access the network until the timer expires.","If this parameter is set to a large value, an MS is difficult to access the network. If this parameter is set to a small value, the channel load increases and the network access rate for the MS decreases."
8,GCELLHOBASIC,LTESAIMCC,LTE SAI MCC,24046,96.90%,24816,2,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),000 → 470 (24043); 0 → 470 (3),000,None,"MCC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
9,GCELLHOBASIC,LTESAIMNC,LTE SAI MNC,24046,96.90%,24816,2,Network-wide bulk change,SRVCC HO / CS continuity (VoLTE→GSM),000 → 02 (24043); 0 → 02 (3),000,None,"MNC parameter in SAI for an SRVCC handover. The BSC interprets the handover request message as an SRVCC handover request when all the following conditions are met:
""SRVCCHOEN"" in the ""SET GCELLHOBASIC"" command is set to YES(Yes). 
The source cell ID type in the incoming BSC handover request message is SAI.
The values of ""LTE SAI MCC"", ""LTE SAI MNC"", ""LTE SAI LAC"", ""LTE SAI SAC"" for the source cell carried in the incoming BSC handover request message are consistent with those configured on the BSC.",None
10,GCELLVAMOS,VFRLOADREUSETHD,Load Thld for Low Load VAMOS FR Demultiplexing,17187,69.26%,24816,1187,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),85 → 86 (527); 86 → 87 (386); 86 → 85 (358); 87 → 86 (324); 80 → 81 (317); 84 → 85 (294); 81 → 82 (290); 85 → 84 (264),30,30,Load threshold for triggering VAMOS FR channel demultiplexing due to low load in a common cell or in the overlaid or underlaid subcell of a concentric cell. VAMOS FR channel demultiplexing is triggered if the load in a common cell or in the overlaid or underlaid subcell of a concentric cell is less than the value of this parameter.,"The smaller the value of this parameter, the later the BSC makes a decision on VAMOS FR channel demultiplexing in a common cell or in the overlaid or underlaid subcell of a concentric cell. This helps alleviate cell congestion but decreases the MOS and increases the call drop rate more significantly."
11,GCELLVAMOS,VAMOSLOADREUSELOADTHD,Load Thres. of Channel Demultiplex,17186,69.25%,24816,1186,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),85 → 86 (527); 86 → 87 (386); 86 → 85 (358); 87 → 86 (324); 80 → 81 (317); 84 → 85 (294); 81 → 82 (290); 85 → 84 (264),25,25,Load threshold for triggering VAMOS HR channel demultiplexing in a common cell or in a concentric cell. VAMOS HR channel demultiplexing is triggered only when the load of a common cell or concentric cell is less than the value of this parameter.,"The smaller the value of this parameter, the later the VAMOS channel demultiplexing decision due to low cell load is made, the smaller the number of times for handovers due to low cell load, the heavier the VAMOS traffic in the cell, and the greater the network quality deterioration."
12,GCELLVAMOS,VAMOSIUOINNERLOADTHD,Load Thres. in Overlaid Subcell,11009,44.36%,24816,417,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),95 → 96 (907); 93 → 94 (772); 94 → 95 (673); 96 → 95 (575); 92 → 93 (556); 94 → 93 (519); 96 → 97 (445); 93 → 92 (438),75,75,"Load threshold for triggering VAMOS HR channel multiplexing in the overlaid subcell of a concentric cell. VAMOS HR channel multiplexing using an intra-cell handover is triggered only when the load of the overlaid subcell of a concentric cell is greater than or equal to the value of this parameter. VAMOS HR channel multiplexing using channel allocation is triggered only when the load of the overlaid subcell of a concentric cell is greater than or equal to the sum of this parameter and ""VAMOSASSLOADOFT"".","The larger the value of this parameter, the smaller the number of new candidate VAMOS calls in the overlaid subcell. This affects VAMOS traffic volume and network quality."
13,GCELLVAMOS,VAMOSMULTLOADTHD,Channel Multiplex Load Thres.,11009,44.36%,24816,417,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),95 → 96 (907); 93 → 94 (772); 94 → 95 (673); 96 → 95 (575); 92 → 93 (556); 94 → 93 (519); 96 → 97 (445); 93 → 92 (438),75,75,"Load threshold for triggering VAMOS HR channel multiplexing in a common cell or in the underlaid subcell of a concentric cell. VAMOS HR channel multiplexing using an intra-cell handover is triggered only when the load in a common cell or in the underlaid subcell of a concentric cell is greater than or equal to the value of this parameter. VAMOS HR channel multiplexing using channel allocation is triggered only when the load in a common cell or in the underlaid subcell of a concentric cell is greater than or equal to the sum of this parameter and ""VAMOSASSLOADOFT"".","The smaller the value of this parameter, the earlier the channel multiplexing decision is made, the higher the VAMOS traffic volume and the lower the network quality."
14,GCELLVAMOS,VFRIUOINNERLOADTHD,OL Load Threshold for VAMOS FR Multiplexing,11009,44.36%,24816,417,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),95 → 96 (907); 93 → 94 (772); 94 → 95 (673); 96 → 95 (575); 92 → 93 (556); 94 → 93 (519); 96 → 97 (445); 93 → 92 (438),50,50,"Load threshold for triggering VAMOS FR channel multiplexing in the overlaid subcell of a concentric cell. VAMOS FR channel multiplexing using an intra-cell handover is triggered only if the load in the overlaid subcell of a concentric cell is greater than or equal to the value of this parameter. VAMOS FR channel multiplexing using channel allocation is triggered only if the load in the overlaid subcell of a concentric cell is greater than or equal to the sum of this parameter and ""VAMOSASSLOADOFT"".","The smaller the value of this parameter, the earlier the BSC makes a decision on VAMOS FR channel multiplexing in the overlaid subcell of a concentric cell and the heavier the VAMOS FR traffic in the overlaid subcell. Therefore, setting this parameter to a small value helps alleviate cell congestion. Compared with VAMOS HR, VAMOS FR has the same theoretical capacity and a higher MOS. This improves user experience. However, the HQI decreases and the call drop rate increases. Therefore, increasing the proportion of VAMOS FR deteriorates the HQI and call drop rate."
15,GCELLVAMOS,VFRLOADTHD,Load Threshold for VAMOS FR Multiplexing,11009,44.36%,24816,417,Per-cell / SON-like drift,TCH CDR / MOS (VAMOS quality),95 → 96 (907); 93 → 94 (772); 94 → 95 (673); 96 → 95 (575); 92 → 93 (556); 94 → 93 (519); 96 → 97 (445); 93 → 92 (438),50,50,"Load threshold for triggering VAMOS FR channel multiplexing in a common cell or in the underlaid subcell of a concentric cell. VAMOS FR channel multiplexing using an intra-cell handover is triggered only if the load in a common cell or in the underlaid subcell of a concentric cell is greater than or equal to the value of this parameter. 
VAMOS FR channel multiplexing using channel allocation is triggered only if the load in a common cell or in the underlaid subcell of a concentric cell is greater than or equal to the sum of this parameter and ""VAMOSASSLOADOFT"".","The smaller the value of this parameter, the earlier the BSC makes a decision on VAMOS FR channel multiplexing in a common cell or in the underlaid subcell of a concentric cell and the heavier the VAMOS FR traffic in the cell. Therefore, setting this parameter to a small value helps alleviate cell congestion. Compared with VAMOS HR, VAMOS FR has the same theoretical capacity and a higher MOS. This improves user experience. However, the high quality indicator (HQI) decreases and the call drop rate increases. Therefore, increasing the proportion of VAMOS FR deteriorates the HQI and call drop rate."
16,GCELL,NCC,NCC,636,2.56%,24816,56,Per-cell / SON-like drift,HO / identity (can cause HO fail & drop),7 → 2 (19); 3 → 4 (18); 6 → 7 (17); 1 → 3 (17); 7 → 4 (17); 1 → 6 (17); 7 → 3 (16); 2 → 1 (16),None,None,"Network color code that is provided by the telecom operator. The NCC is used to identify networks from area to area. Unified NCC planning is adopted by operators in a country.
The BCC and the NCC form the BSIC.",None
17,GCELL,BCC,BCC,624,2.51%,24816,56,Per-cell / SON-like drift,HO / identity (can cause HO fail & drop),4 → 3 (19); 2 → 1 (19); 0 → 1 (18); 4 → 7 (18); 3 → 4 (17); 6 → 4 (16); 7 → 2 (15); 0 → 6 (15),0,None,"Base station color code (BCC) of a cell, provided by the network planning department. It is used for differentiating the cells using the same BCCH frequency. A BCC and a network color code (NCC) compose a base station identity code (BSIC).",None
18,GCELLPRIEUTRANSYS,FDDFASTRETURNRSRPTH,RSRP Threshold for Fast FDD LTE Reselection,603,2.43%,24816,1,Cluster bulk change,CSFB/SRVCC return & ping-pong,32 → 22 (603),28,28,"RSRP threshold for fast reselection from a GSM cell to an LTE FDD cell. The BSC sends a CHANNEL RELEASE message that carries the frequency of neighboring LTE cells only when the RSRP of the neighboring LTE cells is higher than this threshold. 
The mapping between the value of this parameter and the decibel value is as follows:
0: -140 dBm,
1: -139 dBm,
...,
63: -77dBm.",A larger value of this parameter indicates that it is more difficult for an MS to reselect to an LTE cell. A smaller value of this parameter indicates that an MS is more likely to perform ping-pong reselections.
19,GCELLPRIEUTRANSYS,TDDFASTRETURNRSRPTH,RSRP Threshold for Fast TDD LTE Reselection,603,2.43%,24816,1,Cluster bulk change,CSFB/SRVCC return & ping-pong,28 → 22 (603),28,28,"RSRP threshold for fast reselection from a GSM cell to an LTE TDD cell. The BSC sends the CHANNEL RELEASE message that carries the frequency of neighboring LTE cells only when the RSRP of the neighboring LTE cells is higher than this threshold. 
The mapping between the value of this parameter and the decibel value is as follows:
0: -140dBm,
1: -139dBm,
...,
63: -77dBm.",A larger value of this parameter indicates that it is more difficult for an MS to reselect to an LTE cell. A smaller value of this parameter indicates that an MS is more likely to perform ping-pong reselections.
20,GCELLSRVCC,SRVCCRAPIDSELBASECFGSW,Config Based SRVCC Fast Reselect Switch,603,2.43%,24816,1,Cluster bulk change,SRVCC HO / CS continuity (VoLTE→GSM),(empty) → OFF (603),OFF(Off),OFF(Off),"Whether to allow configuration-based SRVCC fast return to LTE when MSs do not support LTE measurement.
When this parameter is set to ON, if SRVCC MSs do not support LTE frequency measurement or the BSC fails to obtain the LTE measurement capabilities of SRVCC MSs, the BSC allows SRVCC MSs to fast return to an LTE cell based on the configured LTE frequencies.
When this parameter is set to OFF, the BSC does not allow SRVCC MSs to fast return to an LTE cell based on the configured LTE frequencies.","If this parameter is set to ON, configuration-based fast return to LTE can be triggered when SRVCC MSs do not support LTE frequency measurement or the BSC fails to obtain the LTE measurement capabilities of SRVCC MSs, decreasing the duration when SRVCC MSs fast return to an LTE cell. If this parameter is set to OFF, network performance is not affected."
21,GCELLSRVCC,SRVCCRAPIDSELMEASOPTSW,SRVCC Fast Reselect Meas Optimize Switch,603,2.43%,24816,1,Cluster bulk change,SRVCC HO / CS continuity (VoLTE→GSM),OFF → ON (603),OFF(Off),OFF(Off),"Whether to enable the optimization of the SRVCC fast return to LTE function. 
When this parameter is set to ON:
1. If MSs support LTE frequency measurement, measurement-based fast return to LTE is triggered, and the BSC includes LTE frequencies and measurement information in the MI based on the LTE measurement capabilities of MSs.
2. If MSs do not support LTE frequency measurement or the BSC fails to obtain the LTE measurement capabilities of MSs, the BSC determines whether to trigger configuration-based fast return to LTE according to the value of the ""SRVCCRapidSelBaseCfgSw"" parameter. 
When this parameter is set to OFF:
1. If the ""DecodeCSFBInd"" parameter in the ""SET AITFOTHPARA"" command is set to ON(On) and the CSFB Indication IE is not carried in the Clear Command message or the value of this IE is 0, the BSC does not send the fast return message.
2. If the ""DecodeCSFBInd"" parameter in the ""SET AITFOTHPARA"" command is set to OFF(Off) or the value of the CSFB Indication IE carried in the Clear Command message is 1, the BSC sends the fast return messages to MSs based on the LTE frequency measurement results of MSs when the ""FASTRETURNMEASSPT"" parameter in the ""SET GCELLPRIEUTRANSYS"" command is set to ON(On), or sends the fast return messages to MSs based on the LTE frequencies for which the ""SPTRAPIDSEL"" parameter in the ""ADD GLTENCELL"" or ""MOD GLTENCELL"" command is set to SUPPORT when the ""FASTRETURNMEASSPT"" parameter in the ""SET GCELLPRIEUTRANSYS"" command is set to OFF(Off).","If this parameter is set to ON, the BSC sends more accurate LTE frequencies to MSs based on MS capabilities, and MSs measure LTE frequencies more accurately and return to an LTE cell more quickly. If this parameter is set to OFF, network performance is not affected."
22,GCELLBASICPARA,CONCENINTELSHUTDOWNSW,Concentric Intelligent Shutdown Switch,480,1.93%,24816,1,Limited / targeted change,Energy saving (coverage/drop if ON),OFF → (empty) (480),OFF(Off),OFF(Off),"Whether to enable the intelligent power saving optimization function in a concentric cell. When this parameter is set to ON, power amplifier of the TRX serving the overlaid subcell is shut down when the cell traffic is light; the traffic will be carried by the TRX serving the underlaid subcell to obtain maximum power saving gains. When this parameter is set to OFF, power amplifier of the TRX serving the overlaid subcell is shut down only when all traffic of the overlaid subcell is released.",Setting this parameter to ON increases traffic carried by the underlaid subcell.
23,GCELLBASICPARA,DYNOPENTRXPOWER,Allow Dynamic Shutdown of TRX,480,1.93%,24816,1,Limited / targeted change,Energy saving (coverage/drop if ON),YES → NO (480),YES(Yes),YES(Yes),This parameter specifies whether to allow the BSC to enable the TRX Intelligent Shutdown feature on a cell.,None
24,GCELLBASICPARA,ENERGYCONSRVPREFSW,Energy Conserve Prefer Switch,480,1.93%,24816,1,Limited / targeted change,Energy saving (coverage/drop if ON),OFF → (empty) (480),OFF(Off),OFF(Off),"Whether the BSC preferentially allocates channels on a power amplifier-enabled TRX when an MS attempts to perform voice services. If this parameter is set to ON, within the power saving period specified in the ""SET BSCDSTPA"" command, power saving takes precedence over capacity and quality during channel allocation, and the BSC preferentially allocates channels on a power amplifier-enabled TRX during a call access or handover. If this parameter is set to OFF, the BSC does not preferentially allocate channels on a power amplifier-enabled TRX; instead, it allocates channels based on the policy specified by the ""CHALLOCSTRATEGY"" parameter in the ""SET GCELLCHMGBASIC"" command.",None
25,GCELLBASICPARA,PDCHTRXDYNSHUTSW,PDCH TRX Intelligent Shutdown Switch,480,1.93%,24816,1,Limited / targeted change,Energy saving (coverage/drop if ON),DISABLED → (empty) (480),DISABLED(Disabled),DISABLED(Disabled),"Whether to allow shutdown of TRXs with PDCHs in the TRX Power Amplifier Intelligent Shutdown feature. When this parameter is set to ENABLED, users can set ""CPS"" in ""SET GTRXDEV"" to YES for TRXs with static PDCHs, and TRXs with PDCHs support intelligent power amplifier shutdown. When this parameter is set to DISABLED, users cannot set ""CPS"" in ""SET GTRXDEV"" to YES for TRXs with static PDCHs, and TRXs with PDCHs do not support intelligent power amplifier shutdown.",Enabling this function helps conserve power but decreases PS capacity.
26,GCELLVAMOS,MULTALLOWBEFORECONN,Allow HO Multiplex Before CONNECT ACK,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358); ON → OFF (7),ON(On),ON(On),"Whether to allow VAMOS multiplexing for an MS that has not received a Connect ACK message. 
When this parameter is set to ON, VAMOS multiplexing is allowed for such an MS.
When this parameter is set to OFF, VAMOS multiplexing is not allowed for such an MS.","If this parameter is set to OFF, the VAMOS multiplexing rate decreases. If this parameter is set to ON, the call drop rate after VAMOS multiplexing increases."
27,GCELLVAMOS,MUTESAICSWITCH,Mute SAIC Terminal Processing Switch,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358); ON → OFF (7),OFF(Off),OFF(Off),Whether to enable the function for processing mute SAIC-capable MSs in a cell. A mute SAIC-capable MS is a SAIC-capable MS that is reported as SAIC-incapable. The value ON indicates that the function for processing such MSs is enabled; the value OFF indicates that the function for processing such MSs is disabled. Processing mute SAIC-capable MSs consists of identification of such MSs based on database records and automatic identification of such MSs.,"When this parameter is set to ON, IMEI identification is performed before the BSC assigns a TCH, delaying call access."
28,GCELLVAMOS,SAICPROMSSWITCH,Problem SAIC Terminal Processing Switch,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358); ON → OFF (7),ON(On),ON(On),Whether to enable the function for processing SAIC-capable MSs with AFC defects in a cell. The value ON indicates that the function for processing such MSs is enabled; the value OFF indicates that the function for processing such MSs is disabled. Processing SAIC-capable MSs with AFC defects consists of identification of such MSs based on database records and automatic identification of such MSs.,"When this parameter is set to ON, IMEI identification is performed before the BSC assigns the TCH, delaying call access."
29,GCELLVAMOS,VAMOSINTRAHODLQUALTHD,DL Rx Qual. Thres. of Established Calls,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 50 (358); 40 → 50 (7),10,10,"Threshold of the downlink receive quality of an established call to be selected as a candidate VAMOS call. The decision on this call can be triggered successfully only when the following conditions are met: 1. The ATCB of this call is greater than or equal to the ATCB threshold. 2. The uplink receive quality is smaller than or equal to ""VamosIntraHoUlQualThd"". 3. The downlink receive quality is smaller than or equal to the value of this parameter. 4. The uplink receive level is greater than or equal to ""VamosIntraHoUlRxlevThd"". 5. The downlink receive level is greater than or equal to ""VamosIntraHoDlRxlevThd"". 6. The absolute value of the difference between main and diversity receive levels is less than or equal to ""VamosAntUlRxlevDiffThd"".
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call.","The smaller the value of this parameter, the smaller the number of accessed candidate VAMOS calls. As a result, VAMOS traffic volume decreases and network quality deteriorates slightly."
30,GCELLVAMOS,VAMOSINTRAHODLRXLEVTHD,DL Rx Lev. Thres. of VAMOS Calls,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 27 (358); 17 → 27 (7),20,20,"Threshold of the downlink receive level of an established call to be selected as a candidate VAMOS call. VAMOS is short for voice services over adaptive multi-user channels on one slot. The decision on an established call can be triggered successfully only when both of the following conditions are met: 1. The downlink receive level of an established call is greater than or equal to this threshold. 2. The uplink and downlink receive quality, uplink and downlink receive levels, ATCB, and absolute value of the difference between main and diversity receive levels meet relevant requirements. 
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call.","The larger the value of this parameter, the smaller the number of new candidate VAMOS calls. This affects VAMOS traffic volume and network quality."
31,GCELLVAMOS,VAMOSINTRAHOULQUALTHD,UL Rx Qual. Thres. of Established Calls,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 50 (358); 30 → 50 (7),10,10,"Threshold of the uplink receive quality of an established call to be selected as a candidate VAMOS call. The decision on this call can be triggered successfully only when all of the following conditions are met: 1. The ATCB of this call is greater than or equal to the ATCB threshold. 2. The uplink receive quality is smaller than or equal to the value of this parameter. 3. The downlink receive quality is smaller than or equal to ""VamosIntraHoDlQualThd"". 4. The uplink receive level is greater than or equal to ""VamosIntraHoUlRxlevThd"". 5. The downlink receive level is greater than or equal to ""VamosIntraHoDlRxlevThd"". 6. The absolute value of the difference between main and diversity receive levels is less than or equal to ""VamosAntUlRxlevDiffThd"".
If the decision conditions are met for ""VamosOldCallLastTimes"" within ""VamosOldCallStatTimes"", this call can be selected as a candidate VAMOS call. Otherwise, this call cannot be selected as a candidate VAMOS call.","If this parameter is set to a small value, the number of established calls that can be selected as VAMOS candidate calls decreases, the VAMOS traffic volume in the cell decreases, and the deterioration of network quality eases."
32,GCELLVAMOS,VAMOSINTRAHOULRXLEVTHD,UL RX Level Thld for Channel Multiplexing,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 20 (358); 10 → 20 (7),13,13,"Uplink receive level threshold for a call that has accessed a cell to serve as a candidate VAMOS call. This parameter works with ""VamosAssDlRxlevThdOffset"", ""VAMOSOLRXLEVOFT"", and ""VFRRxlevOffset"" to specify the uplink receive level standard of a candidate VAMOS call. An accessed call whose uplink receive level fails to meet the standard cannot serve as a candidate VAMOS call. The preceding rule is invalid if this parameter is set to 0.","The larger the value of this parameter, the higher the required uplink receive level of a candidate VAMOS call, the less the candidate VAMOS calls, and the lower the VAMOS traffic volume."
33,GCELLVAMOS,VAMOSNONESAICALLOW,Allow VAMOS-1&NonSAIC and SAIC&NonSAIC,365,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → OFF (358); ON → OFF (7),OFF(Off),OFF(Off),Whether to allow the multiplexing of a VAMOS-1 call and a non-SAIC call and the multiplexing of a SAIC call and a non-SAIC call. The value ON indicates that the two types of multiplexing are allowed; the value OFF indicates that the two types of multiplexing are not allowed.,"If this parameter is set to ON(On), the VAMOS channel multiplexing rate and network capacity  increase. However, network quality deteriorates noticeably after the preceding pairs of calls are multiplexed because of poor link performance."
34,GCELLVAMOS,SPEMSIDEDLRXLEVTHD,DL RX Level Thd of Terminal Identify,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 47 (358); 25 → 47 (6),25,25,"Threshold of downlink receive level for triggering automatic identification of mute SAIC MSs and problem SAIC MSs. When the downlink receive level of a call is lower than the value of this parameter, automatic identification of such MSs is not performed. The preceding rule is invalid if this parameter is set to 0.","If this parameter is set to a larger value, the required downlink receive level for triggering automatic identification is larger. Therefore, automatic identification is performed on fewer calls in the network. As a result, fewer calls are affected and network quality decreases at a slower rate. However, the automatic identification efficiency is lower."
35,GCELLVAMOS,SPEMSIDELOAD,LO Thresh upon Terminal Identify Request,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 20 (358); 40 → 20 (6),40,40,"Load threshold for performing automatic identification of mute SAIC-capable MSs, SAIC-capable MSs with AFC defects, and SAIC white MSs in a cell. MS identification request is triggered only when cell load is lower than or equal to the value of this parameter.","If this parameter is set to a large value, mute SAIC terminal identification is triggered in a cell with high load. The number of automatic identification decisions made by MSs increases and network quality deteriorates seriously."
36,GCELLVAMOS,SPEMSIDEMAXCALLS,Max Calls in Terminal Identification,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 10 (358); 20 → 10 (6),20,20,"Maximum number of calls in a cell, on which identification of mute SAIC-capable MSs, identification of SAIC-capable MSs with AFC defects, and identification of SAIC white MSs can be performed simultaneously.","If this parameter is set to a large value, automatic mute SAIC terminal identification and problem SAIC terminal identification can be performed simultaneously on more calls in a cell. Therefore, the number of calls affected by the identification process increases and network quality deteriorates seriously."
37,GCELLVAMOS,SPEMSIDEULRXLEVTHD,UL RX Level Thd of Terminal Identify,364,1.47%,24816,2,Limited / targeted change,TCH CDR / MOS (VAMOS quality),(empty) → 40 (358); 18 → 40 (6),18,18,"Threshold of uplink receive level for triggering automatic identification of mute SAIC MSs and problem SAIC MSs. When the uplink receive level of a call is lower than the value of this parameter, automatic identification of such MSs is not performed. The preceding rule is invalid if this parameter is set to 0.","If this parameter is set to a larger value, the required uplink receive level for triggering automatic identification is larger. Therefore, automatic identification is performed on fewer calls in the network. As a result, fewer calls are affected and network quality decreases at a slower rate. However, the automatic identification efficiency is lower."
